route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
GOV_CTA_366,Ground_Daily,Ahmed Helmy,0,,GOV_CTA_366_0
GOV_CTA_366,Ground_Daily,Cairo Airport,1,,GOV_CTA_366_1
GOV_CTA_573,Ground_Daily,Gardenia (Cairo Suez Rd.),0,,GOV_CTA_573_0
GOV_CTA_573,Ground_Daily,Moneeb Station,1,,GOV_CTA_573_1
GOV_CTA_582,Ground_Daily,Al Shaheed Corridor,0,,GOV_CTA_582_0
GOV_CTA_582,Ground_Daily,Ahmed Saaed Bridge Exit,1,,GOV_CTA_582_1
GOV_CTA_912,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_CTA_912_0
GOV_CTA_912,Ground_Daily,Giza Square,1,,GOV_CTA_912_1
GOV_CTA_955,Ground_Daily,Abd Al Moneim Riad,0,,GOV_CTA_955_0
GOV_CTA_955,Ground_Daily,El Haykestep,1,,GOV_CTA_955_1
GOV_CTA_988,Ground_Daily,Ramses,0,,GOV_CTA_988_0
GOV_CTA_988,Ground_Daily,Badrashen,1,,GOV_CTA_988_1
GOV_CTA_997,Ground_Daily,Port Said St. (Al Sawah),0,,GOV_CTA_997_0
GOV_CTA_997,Ground_Daily,Al Kahraba St. (Nasr City),1,,GOV_CTA_997_1
GOV_CTA_13 - 25,Ground_Daily,Abd Al Moneim Riad,0,,GOV_CTA_13 - 25_0
GOV_CTA_13 - 25,Ground_Daily,Abbassia,1,,GOV_CTA_13 - 25_1
GOV_CTA_1011,Ground_Daily,Moneeb Station,0,,GOV_CTA_1011_0
GOV_CTA_1011,Ground_Daily,Masaken Almaza,1,,GOV_CTA_1011_1
GOV_CTA_1017,Ground_Daily,Shubra El-Kheima,0,,GOV_CTA_1017_0
GOV_CTA_1017,Ground_Daily,Ard Al Lewa Steps (26th of July Corridor),1,,GOV_CTA_1017_1
GOV_CTA_1031,Ground_Daily,Imbaba,0,,GOV_CTA_1031_0
GOV_CTA_1031,Ground_Daily,Masaken Betcho,1,,GOV_CTA_1031_1
GOV_CTA_1035,Ground_Daily,Abbaseya,0,,GOV_CTA_1035_0
GOV_CTA_1035,Ground_Daily,Shubra El-Kheima,1,,GOV_CTA_1035_1
GOV_CTA_1052,Ground_Daily,Al Mazallaat ( Shubra),0,,GOV_CTA_1052_0
GOV_CTA_1052,Ground_Daily,Al Qanater Al Khayriya,1,,GOV_CTA_1052_1
GOV_CTA_1085,Ground_Daily,Bulaq Al Dakrur,0,,GOV_CTA_1085_0
GOV_CTA_1085,Ground_Daily,Al Gezira (Al Moqattam),1,,GOV_CTA_1085_1
GOV_CTA_1103,Ground_Daily,Naguib Mahfouz Square (1st Settlement),0,,GOV_CTA_1103_0
GOV_CTA_1103,Ground_Daily,Shubra El-Kheima,1,,GOV_CTA_1103_1
GOV_CTA_1125,Ground_Daily,Abbassia,0,,GOV_CTA_1125_0
GOV_CTA_1125,Ground_Daily,Warraq Al Arab,1,,GOV_CTA_1125_1
GOV_CTA_1127,Ground_Daily,3rd Settlement Station,0,,GOV_CTA_1127_0
GOV_CTA_1127,Ground_Daily,Bulaq Al Dakrur,1,,GOV_CTA_1127_1
GOV_CTA_1142,Ground_Daily,Giza Square,0,,GOV_CTA_1142_0
GOV_CTA_1142,Ground_Daily,Asmarat,1,,GOV_CTA_1142_1
GOV_CTA_1145,Ground_Daily,Al Mazallaat ( Shubra),0,,GOV_CTA_1145_0
GOV_CTA_1145,Ground_Daily,Al Kahraba St. (Nasr City),1,,GOV_CTA_1145_1
GOV_CTA_1153,Ground_Daily,Abd Al Moneim Riad,0,,GOV_CTA_1153_0
GOV_CTA_1153,Ground_Daily,Helwan Metro,1,,GOV_CTA_1153_1
